SID	tai_cnnPC1	tai_cnnPC2	tai_cnnPC3	tai_cnnPC4	tai_cnnPC5	tai_cnnPC6	tai_cnnPC7	tai_cnnPC8	tai_cnnPC9	tai_cnnPC10
TE0003991	-27.948324	-9.111641	-41.70425	9.831477	28.104694	5.210877	3.5235739	6.7455673	-12.854024	-11.253964
TE0003992	-5.214398	-30.882116	-44.085506	29.680674	7.18373	10.470923	-26.197844	42.82608	4.507507	22.010914
TE0003993	-22.612226	15.790219	22.157463	-31.459728	-25.168081	-0.56222713	11.15308	-7.268589	16.691153	-12.045426
TE0003994	-7.13292	15.910211	-18.50599	16.252707	-7.540503	14.168424	11.469562	-3.9306333	15.316555	-22.989122
TE0003995	35.642975	-41.291256	-2.6936677	-28.704655	-3.024753	6.9188414	11.080188	10.240005	6.1113367	-10.431986
TE0003996	-2.6947927	13.5837755	-17.20968	-12.115225	-3.3204548	-7.54388	5.2205234	28.683338	39.35705	7.527547
TE0003997	-7.5812345	-13.545682	34.85729	-8.829235	48.03753	-0.6482969	-16.70187	29.841372	12.533428	3.9397604
TE0003998	31.712687	-19.043447	36.161182	19.173603	23.541996	6.2737255	8.544045	-12.62548	8.815459	-8.25567
TE0003999	38.7309	10.817532	24.166727	32.31417	20.832642	7.767147	5.4750504	-3.0993552	8.906086	5.3995485
TE0004000	-19.747322	59.36572	-10.216715	11.339734	8.935047	13.871078	11.229072	31.724508	-29.046362	-13.569154
TE0004001	-4.5212526	-1.4038829	-7.810804	-27.040653	-9.938401	-17.94577	24.213821	-1.642777	11.939696	-15.134414
TE0004002	-39.334755	12.687393	17.462181	-40.971275	9.555273	-9.868413	-3.2981017	-19.05453	0.72025985	-2.94518
TE0004003	-1.7468119	39.453827	13.193873	26.960333	66.21898	-23.472149	-0.23176928	-8.063516	28.938297	6.763319
TE0004004	3.6273236	-61.643677	31.96735	16.527855	6.491141	-0.18826325	26.774563	-3.3812792	-8.75419	2.9995706
TE0004005	3.2061536	33.74098	20.388016	-26.338575	28.622149	9.036926	19.18315	-7.6360064	-11.427531	4.1883364
TE0004006	-25.914509	-9.8915615	12.433836	-25.385208	14.118175	19.31126	-12.572477	-2.9993684	-5.211672	-1.6741208
TE0004007	24.673006	-18.237951	-40.47662	-32.58692	-7.4427433	17.340302	-15.444677	13.021843	-4.3097553	0.6071333
TE0004008	44.804012	7.866857	-35.672096	-18.94188	23.965714	13.260109	14.840085	-4.853345	-17.867546	8.2626095
TE0004009	12.420139	61.17746	-26.986214	-12.765154	4.385758	18.471611	13.176669	-5.9501615	-28.285828	36.462517
TE0004010	-72.49312	7.622932	-16.727533	-29.998177	22.790724	7.3968544	-14.668566	-27.495562	-32.005993	16.089867
TE0004011	23.331606	-48.039352	16.079645	-9.643472	28.261068	17.067047	8.09095	-18.594597	-5.9936633	6.154185
TE0004012	53.690247	-7.726796	13.830876	-3.7015283	1.7668914	10.089374	26.46941	-7.9595704	-6.743583	3.711818
TE0004013	36.67306	-1.7529091	3.648649	-4.8543315	51.092587	-8.227391	13.546411	-11.911549	22.437897	-14.088148
TE0004014	-38.26558	10.015168	-22.433975	8.977451	-4.9695535	-14.262608	1.4688166	-15.964378	-14.0664425	-27.674768
TE0004015	-9.699467	35.39354	30.079378	-29.90899	-9.656466	-14.080961	33.499233	-2.7754676	-9.998797	-4.1663785
TE0004016	21.096937	-21.441734	19.538795	-21.006407	-7.638948	8.34945	13.8018	-13.638857	-8.644889	-18.186153
TE0004017	46.117264	-8.557894	-1.6017396	-17.537481	10.913883	10.656701	-0.52442193	6.3914547	2.348984	7.5346475
TE0004018	-0.8765902	6.695855	25.373358	-21.18867	5.840034	13.794351	2.6024191	-13.075973	4.3623962	-3.419136
TE0004019	-12.423066	27.297102	-21.426805	-3.0671937	1.5676789	-3.003756	20.265518	-0.4045727	-18.61922	-2.5043745
TE0004020	-10.574342	3.9166286	-7.605079	22.294008	8.183546	38.324215	28.262972	29.296783	5.2774963	-5.3991094
TE0004021	37.44758	-48.241116	14.757628	-22.329716	2.201601	10.622727	16.11599	0.9060581	4.7897825	3.492175
TE0004022	48.08771	-25.504692	23.286312	-14.765935	-9.916502	29.059593	16.143923	-4.227456	-10.2238865	-2.4256213
TE0004023	41.273647	17.73655	33.674133	-19.073187	-4.736791	3.1255176	36.11723	3.424079	-11.264935	-0.6133937
TE0004024	-17.647884	-32.109756	-14.583264	-8.729743	-13.571045	17.647938	18.509533	9.514151	-0.91879463	2.1020226
TE0004025	22.590885	-45.18288	47.050346	-15.460819	11.337736	25.609737	-1.5682023	-16.24553	6.768082	14.383426
TE0004026	-9.713711	2.9152098	39.733982	6.2711425	12.951093	55.75639	0.5235991	-4.629699	16.471195	10.147338
TE0004027	-0.19882578	22.820738	17.555569	6.097878	13.586558	0.94349897	15.998678	-4.022505	-1.1881374	46.73765
TE0004028	-60.945435	24.337128	-32.35153	-15.809513	-26.316467	-2.0248137	0.8975742	13.808547	-21.524967	-2.2367582
TE0004029	30.461851	-40.82577	-8.879036	-3.0308623	3.1537452	-23.025713	-1.4834541	22.418041	-2.3294427	34.160744
TE0004030	-55.416668	50.808773	-27.663523	-28.769999	26.417658	-20.637573	-17.508286	-17.811388	-23.587334	57.223396
TE0004031	41.48221	-9.150946	11.18334	-4.8839746	-9.715453	5.8869205	18.593714	4.955841	-10.365604	-0.5967167
TE0004032	-18.880629	-9.310413	-12.862251	-56.97147	21.869452	22.379923	-6.4048576	-13.078433	-10.478481	-5.8825717
TE0004033	42.36456	20.149494	20.904692	-19.957762	9.61678	-7.6415477	27.293793	24.136526	-12.579902	1.5565299
TE0004034	-2.5606802	-16.405582	-43.00998	-17.442112	-22.494967	8.984112	-3.6202374	-9.076575	14.925931	-1.4815245
TE0004035	-35.62726	44.7847	-4.963612	-47.627934	-0.044417873	21.476967	-10.926354	-27.504566	-7.593033	25.88639
TE0004036	-21.189333	-4.741143	-23.337723	-75.071365	10.749522	-17.719965	-28.83053	-6.806349	14.603281	-3.4437265
TE0004037	31.891628	-18.577114	-19.722378	-16.556244	-15.332698	24.169836	17.900341	22.025671	-7.1213646	12.746607
TE0004038	10.540504	1.0394927	-26.623425	22.890566	52.74198	18.794682	15.945739	-5.7661796	-13.859956	-6.485466
TE0004039	1.7730033	-39.242443	-15.286988	21.359652	-36.24057	11.4271	-6.874896	-2.2414172	-0.71371496	12.561777
TE0004040	-24.328371	-12.433741	6.158622	-52.179325	9.212303	37.513905	-4.879929	-11.997585	-7.6402946	-9.405627
TE0004041	-2.0446022	-22.172138	15.653094	-36.457527	0.33964857	47.442448	14.147513	17.56559	3.5526009	6.7787046
TE0004042	3.6573286	-26.253563	-47.86437	-61.374454	2.5813801	6.844618	-5.293042	45.23762	6.8260617	-6.430705
TE0004043	98.98353	36.707176	1.9485399	13.840187	-1.3485852	13.200128	10.837075	-25.997828	-15.445623	-7.150409
