SID	fissure_lbp1	fissure_lbp2	fissure_lbp3	fissure_lbp4	fissure_lbp5	fissure_hog1	fissure_hog2	fissure_hog3	fissure_hog4	fissure_hog5	fissure_contrast	fissure_dissimilarity	fissure_homogeneity	fissure_energy	fissure_correlation	fissure_entropy
TE0004033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004034	1423	419	409	328	807	232989	2872	133	30	10	8.450951598	0.267837563	0.982607454	0.981266847	0.207373267	5.954928886
TE0004035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004036	637	136	108	100	372	420727	1445	128	18	16	1.692410988	0.056388254	0.996174411	0.995857256	0.189111211	5.78311353
TE0004037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004038	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004039	196	60	38	41	109	234691	473	45	8	7	0.801958911	0.032837633	0.997650642	0.997456809	0.133159628	5.595012537
TE0004040	460	139	155	134	293	365227	1089	113	10	5	2.104184077	0.058551916	0.996013861	0.995711715	0.049225932	5.597892629
TE0004041	360	105	126	90	229	333626	818	57	18	11	1.095829587	0.040749183	0.996807917	0.996483425	0.118681168	5.533350138
TE0004042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004044	643	183	232	178	416	383770	1090	42	4	6	2.323438192	0.075105844	0.994767205	0.994360159	0.206148801	5.816166241
TE0004045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004046	141	35	31	38	92	282928	387	14	8	1	0.529487746	0.020031281	0.998520063	0.998419455	-0.049146615	5.34829396
TE0004047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004048	455	162	195	148	327	335076	854	46	9	3	1.49478639	0.051080716	0.995672765	0.995008049	0.094669451	5.348233923
TE0004049	1483	449	466	351	962	309203	1994	128	28	11	5.667311338	0.198232632	0.98559899	0.984218443	0.26223221	5.837846418
TE0004050	1869	720	894	634	1556	278134	2628	106	20	20	6.539008957	0.246084313	0.978554277	0.975096933	0.297867131	5.627262424
TE0004051	717	250	262	208	513	384033	1129	58	11	5	2.540029542	0.083290251	0.994170698	0.993420747	0.548981385	6.311978936
TE0004052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004053	558	150	126	124	338	325375	1184	28	4	1	1.836351917	0.069724639	0.995167356	0.994832975	0.183078681	5.753141459
TE0004054	256	83	54	62	129	158109	598	31	18	4	2.544053529	0.074307504	0.995258204	0.994949304	0.156992046	5.827914249
TE0004055	837	245	235	181	482	275906	1958	92	18	18	5.880343593	0.160919252	0.990999236	0.990441898	0.658270163	6.390375456
TE0004056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004059	1038	312	339	251	638	334601	2143	180	24	12	4.506635836	0.13722368	0.990864773	0.990131108	0.197923591	5.894206129
TE0004060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004061	657	166	183	122	462	383858	1268	160	21	10	2.658316131	0.068662897	0.995106398	0.994653199	0.024148599	5.450444771
TE0004062	451	85	116	86	267	274461	845	69	18	7	1.867870939	0.061436505	0.995839616	0.995384669	0.179504083	5.775699038
TE0004063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004064	463	108	144	118	274	331526	806	75	14	3	1.612312736	0.049362568	0.996165432	0.995676288	0.077021543	5.418132927
TE0004065	282	75	68	69	164	390241	698	120	4	5	1.116781377	0.031071048	0.997856178	0.99767871	0.010804133	5.53784609
TE0004066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004067	1038	468	432	343	707	346518	2155	148	31	15	3.932740668	0.126532637	0.989734077	0.988666739	0.180765996	5.597355933
TE0004068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004070	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004071	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004072	325	146	146	119	214	285797	713	59	7	2	1.970070816	0.052365902	0.995982148	0.995562306	0.054639055	5.423014643
TE0004073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004074	359	186	196	164	383	285933	761	37	4	5	2.032495738	0.066630606	0.994981192	0.994238485	0.684915745	6.038615037
TE0004075	355	79	88	75	220	441352	756	133	14	5	1.280271655	0.032259027	0.997755753	0.997531894	0.031611817	5.506948844
TE0004076	1339	464	514	392	998	311382	1898	96	6	7	5.354441651	0.199163449	0.986110045	0.984859127	0.528495237	6.180953308
TE0004077	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004078	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004079	1850	608	592	493	1209	289204	3511	276	42	25	9.02480209	0.291099056	0.980405707	0.978814743	0.356533487	6.086278309
TE0004080	2252	858	1040	677	1722	280619	3996	346	50	28	7.992888715	0.296039862	0.975402271	0.971139501	0.211265761	5.587200096
TE0004081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004082	566	162	160	129	378	330092	863	79	12	1	1.937546178	0.072030406	0.994925102	0.994511955	0.15117417	5.70197619
TE0004083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004086	1383	504	609	541	1130	339786	2218	107	22	11	4.295273344	0.149389817	0.986868723	0.984748119	0.309103495	5.660985628
TE0004087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004090	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004092	1800	559	612	562	1266	259056	3204	150	18	12	8.142203162	0.294903839	0.978905127	0.976843437	0.476323504	6.088093491
TE0004093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004094	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004096	320	112	95	86	150	362031	766	67	10	6	1.049093766	0.03265359	0.997443581	0.997129864	0.0672074	5.466966531
TE0004097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004098	634	216	231	185	364	353390	1262	119	4	5	2.187208024	0.074402512	0.994550257	0.993879062	0.052059454	5.556405498
TE0004099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004100	964	327	401	280	723	327325	1444	81	4	6	3.555245329	0.116424631	0.990868088	0.989623566	0.220607944	5.660887071
TE0004101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004102	1673	538	597	484	1162	371350	2842	211	36	24	4.93287479	0.160915907	0.987003908	0.98473925	0.438543195	5.829319729
TE0004103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004104	1259	313	317	250	840	296900	2372	189	51	26	5.632194835	0.167482088	0.988385383	0.987378446	0.308416174	5.898745585
TE0004105	615	127	155	119	358	250181	990	77	6	8	4.106720985	0.102609893	0.993444777	0.992926532	0.117363003	5.783851431
TE0004106	730	227	202	167	412	265469	1619	165	34	13	3.629162282	0.119016066	0.991862267	0.991163666	0.282901618	5.923822996
TE0004107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004108	1011	325	302	256	721	339893	1872	113	14	9	3.969084899	0.121590195	0.9910843	0.990042356	0.228700426	5.777420076
TE0004109	1420	469	690	497	1028	343057	1925	44	28	6	4.669762377	0.174135377	0.986449231	0.985024363	0.258369341	5.73989112
TE0004110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004116	165	74	56	59	93	258741	427	24	6	2	0.819661581	0.029015044	0.997881104	0.997684882	0.106970091	5.575434823
TE0004117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004118	1079	352	427	280	778	212833	1408	73	2	10	6.568844394	0.237491138	0.984185578	0.982958189	0.427631924	6.168800397
TE0004119	905	291	302	287	645	247090	1627	93	13	9	3.854864411	0.166958732	0.988382531	0.987499676	0.510875879	6.044831482
TE0004120	960	339	367	294	736	276686	1235	51	18	2	3.163619698	0.128317468	0.989151728	0.987806613	0.153808866	5.482456695
TE0004121	107	31	32	26	27	325151	437	24	6	2	0.371482313	0.012316899	0.999045975	0.998961491	0.00029046	5.372604783
TE0004122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004130	18	4	1	3	0	242804	159	29	8	0	0.027139437	0.001841094	0.999828287	0.999818753	0.032641606	3.840265565
TE0004131	113	23	26	19	51	215334	398	45	6	1	0.859598091	0.020425777	0.998625431	0.998502967	-0.027982008	5.357172372
TE0004132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004137	608	212	229	179	420	284624	1075	62	2	5	2.786971715	0.09604734	0.993104591	0.992463118	0.082565176	5.632419928
TE0004138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
