SID	tg_lbp1	tg_lbp2	tg_lbp3	tg_lbp4	tg_lbp5	tg_hog1	tg_hog2	tg_hog3	tg_hog4	tg_hog5	tg_contrast	tg_dissimilarity	tg_homogeneity	tg_energy	tg_correlation	tg_entropy
TE0005454	32222	15406	25504	15314	34688	225167	19005	458	58	13	88.93025959	3.122972136	0.564424312	0.406076919	0.955759028	6.811493462
TE0005455	30077	12254	22018	13336	36620	207195	15116	417	12	10	61.44902533	2.752044759	0.578209927	0.40351469	0.929748469	6.638538297
TE0005456	62635	29297	44076	29790	73278	365728	30187	737	66	20	75.64872997	3.028965969	0.509587046	0.284482535	0.959800236	7.044118026
TE0005457	52418	18303	29030	16940	51457	296698	19174	451	44	19	85.15745819	4.159481736	0.493971488	0.370628365	0.923305357	6.840905183
TE0005458	46353	17673	28434	18210	51734	264773	20813	755	57	18	86.16149415	2.897892698	0.528637299	0.329518493	0.947019875	6.744906138
TE0005459	55367	27848	44578	32300	73102	350562	33087	624	57	15	63.27470555	2.185472965	0.576342208	0.281415821	0.954460854	6.610514469
TE0005460	30528	18565	26193	19269	41442	251516	19040	561	58	13	45.27288133	1.918231458	0.634685097	0.417153729	0.956064427	6.763717793
TE0005461	45220	18850	29004	18210	46379	265256	21679	542	54	19	75.92342405	2.931642868	0.541936695	0.352296048	0.941396871	6.657627571
TE0005462	54728	19694	32272	19428	56176	275977	23440	622	53	13	88.96909787	3.438326977	0.481823898	0.290150366	0.947752767	6.863747982
TE0005463	44746	18975	31473	17860	46762	264432	20849	437	27	23	72.11059394	3.207888095	0.52200144	0.340720209	0.946703805	6.828683713
TE0005464	59025	28061	44919	29248	74587	371861	31568	850	53	20	87.12562199	2.922593313	0.540388138	0.307539715	0.955323979	6.77409432
TE0005465	62256	23712	39143	23329	67864	336518	26081	624	49	13	86.31926561	3.510121797	0.477383019	0.297002198	0.941993733	6.775883863
TE0005466	40110	21245	33282	21700	48336	278150	21383	531	29	12	53.99372917	2.352860728	0.578701468	0.358484508	0.95729079	6.549251942
TE0005467	42985	16053	31154	18227	52218	254126	21444	566	52	22	61.79323646	2.43517577	0.556428257	0.322966733	0.962013848	6.924206513
TE0005468	39015	13042	20487	12313	35662	219535	16841	410	37	21	72.49708853	2.575410972	0.592654126	0.398236011	0.942997614	6.682159276
TE0005469	47916	19459	26676	17653	54020	272615	20882	481	43	9	68.38330685	3.322460002	0.516826458	0.337364168	0.911301192	6.507234547
TE0005470	49788	16052	28075	16291	58171	248827	22211	666	39	12	85.75094059	3.358372819	0.48638497	0.274514172	0.9578091	7.002802238
TE0005471	55518	18953	36189	20303	65281	328122	28784	693	71	26	89.99958677	2.75339276	0.579818804	0.349567989	0.958423102	7.078814683
TE0005472	25062	10465	17140	10955	34980	169443	14713	486	28	10	54.13850092	1.754771609	0.664034534	0.386586612	0.963241945	7.030686624
TE0005473	36273	17012	28932	17744	44953	238004	19381	626	42	13	49.57788812	2.293358236	0.562512665	0.338455503	0.969555185	6.982602901
TE0005474	42801	21662	36286	21337	52102	288511	21901	572	38	18	65.0447307	2.824602637	0.538219228	0.342467863	0.931915108	6.570915129
