SID	tai_div_zhi	num_zhi
TE0004366	180.2154195	28224
TE0004367	115.2036989	84782
TE0004368	53.06865513	143092
TE0004369	248.601611	37865
TE0004370	144.9369879	65781
TE0004371	125.5074328	97944
TE0004372	117.1469671	61871
TE0004373	74.83651288	44346
TE0004374	43.98243969	123688
TE0004375	186.304719	51536
TE0004376	102.5801572	56857
TE0004377	101.7518319	103720
TE0004378	148.2797115	44789
TE0004379	105.9578306	88690
TE0004380	82.08149622	76887
TE0004381	50.28566129	107820
TE0004382	240.7555096	32852
TE0004383	67.51821507	132308
TE0004384	92.67244777	101480
TE0004385	113.7126429	59828
TE0004386	237.0382962	41179
TE0004387	172.3797722	63754
TE0004388	118.1431164	74932
TE0004389	72.67466263	78623
TE0004390	62.61337294	133299
TE0004391	150.3134174	50412
TE0004392	238.7026586	29414
TE0004393	302.6454504	30354
TE0004394	122.0650998	82243
TE0004395	145.3267264	65789
TE0004396	104.6119979	74046
TE0004397	171.6348441	48341
TE0004398	145.3125562	55574
TE0004399	84.39540165	56368
TE0004400	104.1377353	59912
TE0004401	124.8097041	49134
TE0004402	130.1175951	58846
TE0004403	98.56925576	38791
TE0004404	80.44272247	81044
TE0004405	210.3388799	29568
TE0004406	72.67657409	63656
TE0004407	78.3880299	78128
TE0004408	72.49143802	76209
TE0004409	155.6953083	65115
TE0004410	51.67346939	89425
TE0004411	120.5047903	53963
TE0004412	78.11001167	69429
TE0004413	117.9163271	73620
TE0004414	101.7689928	96326
TE0004415	92.62456588	70545
TE0004416	157.2376622	56959
TE0004417	122.1784873	54368
TE0004418	143.0992736	60711
TE0004419	92.36697914	60592
TE0004420	76.75304878	76096
TE0004421	67.17526269	66523
TE0004422	78.27838119	82678
TE0004423	78.837429	85741
TE0004424	42.11738029	86437
TE0004425	116.823291	32562
TE0004426	313.9275592	47984
TE0004427	106.8663085	75936
TE0004428	107.1049525	83857
TE0004429	69.70330704	138190
TE0004430	64.39367044	78868
TE0004431	221.8622645	33862
TE0004432	99.36414577	75489
TE0004433	132.1615569	62071
TE0004434	143.3117876	60801
TE0004435	98.12010322	85643
TE0004436	94.7763585	71789
TE0004437	278.6565775	33303
TE0004438	151.7717936	63241
TE0004439	113.83134	45903
TE0004440	77.90973491	62394
TE0004441	151.033858	56294
TE0004442	58.45802472	93698
TE0004443	97.92232172	78838
TE0004444	79.56205026	112844
TE0004445	121.3217281	88581
TE0004446	97.06987869	58530
TE0004447	100.1661712	77029
TE0004448	102.7159241	55193
TE0004449	131.9525217	62934
TE0004450	134.6480019	86080
TE0004451	68.60655267	69712
TE0004452	371.0530738	29751
TE0004453	139.7250859	46560
TE0004454	96.55077717	54621
TE0004455	106.6222849	82917
TE0004456	111.0161567	91974
TE0004457	145.6925609	51028
TE0004458	67.4238642	108162
TE0004459	183.5401442	40778
TE0004460	94.46042225	61196
TE0004461	117.7295784	37852
TE0004462	73.58687092	78726
TE0004463	69.91936176	69942
TE0004464	148.6978501	101678
TE0004465	131.872798	87137
TE0004466	115.1666853	98479
TE0004467	41.60501251	114753
TE0004468	123.5148061	81757
TE0004469	91.74330545	93621
TE0004470	232.4737301	21793
TE0004471	90.90540404	69041
TE0004472	88.7371241	53006
TE0004473	56.26870156	83215
TE0004474	199.3364353	37826
TE0004475	75.3600813	51169
TE0004476	92.09108841	79088
TE0004477	91.06278667	79141
TE0004478	126.3942482	66344
TE0004479	100.1715703	58868
TE0004480	337.1805818	32794
TE0004481	288.6704462	32808
TE0004482	308.7394564	34144
TE0004483	150.3500286	62852
TE0004484	121.209488	42580
TE0004485	72.88794053	86231
TE0004486	73.68840851	61433
TE0004487	64.71024422	62035
TE0004488	125.4930966	70980
