SID	zhi_lbp1	zhi_lbp2	zhi_lbp3	zhi_lbp4	zhi_lbp5	zhi_hog1	zhi_hog2	zhi_hog3	zhi_hog4	zhi_hog5	zhi_contrast	zhi_dissimilarity	zhi_homogeneity	zhi_energy	zhi_correlation	zhi_entropy
TE0001780	36640	11701	15162	11951	31440	389051	22051	601	55	46	48.57212297	2.100279899	0.769048078	0.683001613	0.796198143	6.290960458
TE0001781	51150	17366	26176	21196	50874	538944	31076	633	107	47	50.78522193	2.017858743	0.76773399	0.644135342	0.824807787	6.140022117
TE0001782	43283	13265	17404	13818	28214	620581	33433	1096	185	76	66.75852991	2.310165304	0.815241597	0.771496797	0.740751608	6.560852523
TE0001783	38079	14238	18867	15632	32482	473376	24890	549	88	57	51.08695256	2.03760642	0.77996242	0.705187614	0.848161752	6.61113035
TE0001784	37180	14170	17642	15054	30053	434818	22561	776	111	32	63.04742033	2.273637128	0.77320169	0.694700961	0.823676492	6.527956202
TE0001785	32676	9474	11852	10678	21767	411080	24737	643	95	35	85.1009618	2.761030657	0.794989543	0.746869709	0.791794383	6.796539439
TE0001786	43298	12506	15693	11261	26911	491243	33147	803	141	32	88.26843189	3.0101676	0.774230946	0.733620466	0.746057137	6.667194407
TE0001787	49708	13887	17071	15073	32066	498484	34833	829	87	43	88.76221165	3.049089109	0.758863022	0.691172777	0.773758586	6.630307067
TE0001788	39795	13464	18751	14983	32608	412574	23476	701	123	40	61.55507851	2.19684545	0.766644927	0.662767753	0.871634683	6.643962954
TE0001789	38285	13471	16232	13367	27034	427858	22384	635	79	52	78.54195229	2.994962468	0.752691125	0.702251128	0.716981502	6.442448849
TE0001790	33129	10890	15084	12142	25369	415687	24765	873	130	76	76.4478086	2.517190432	0.787093949	0.726474545	0.886636057	7.05547818
TE0001791	38231	11471	15961	12680	29627	431146	24290	617	93	46	70.54023314	2.606857803	0.770818981	0.702865811	0.811588735	6.528687421
TE0001792	17531	5121	6078	4860	10032	317393	14071	712	192	56	60.13933399	1.762726982	0.873205566	0.836620509	0.798374585	6.941355961
TE0001793	39322	13186	17829	15303	33135	402805	23249	701	74	41	62.29763682	2.345287463	0.758934059	0.661956796	0.83565913	6.527594123
TE0001794	31028	9232	9795	8698	19871	477182	26087	753	143	60	56.35645719	2.149094601	0.831572324	0.800650195	0.661870506	6.336005946
TE0001795	32604	12136	16250	13757	26643	486075	24734	912	113	86	45.47807275	1.852463791	0.814566809	0.75318103	0.757578283	6.311695452
TE0001796	50073	14954	21616	17643	42844	529024	33539	741	100	32	51.15221112	2.130335628	0.778773679	0.677136347	0.730154741	6.061613578
TE0001797	36854	10877	16278	13823	25391	511522	30567	1859	264	108	56.31222526	1.783089017	0.835596004	0.760923254	0.830298918	6.647889142
TE0001798	31931	10202	13284	10292	20398	480571	21105	633	173	42	54.05120375	1.807716907	0.838806248	0.787289899	0.837307959	6.809898202
