SID	fissure_cnnPC1	fissure_cnnPC2	fissure_cnnPC3	fissure_cnnPC4	fissure_cnnPC5	fissure_cnnPC6	fissure_cnnPC7	fissure_cnnPC8	fissure_cnnPC9	fissure_cnnPC10
TE0004045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004046	-17.59802	-4.385655	-3.9357512	12.18475	14.969121	8.349433	-3.6065707	-7.6485066	-4.7138143	-2.726424
TE0004047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004048	-21.483318	-16.003191	8.898055	4.889951	5.6812944	14.462093	2.8557289	-1.8139757	2.4243147	-1.8178376
TE0004049	4.9736037	-13.395622	37.4709	-17.42712	-12.919211	5.4743066	13.803952	0.6089907	-7.6999583	-7.236036
TE0004050	-7.4428573	-13.770958	1.4829226	-1.6124232	1.1937562	-12.058903	8.491494	-8.142029	6.296105	5.7777147
TE0004051	-21.973412	11.441283	5.6778417	-2.1802204	1.7927477	-11.510184	10.075949	0.4643487	5.030266	-2.0820384
TE0004052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004053	-21.755184	-3.354037	-1.9819454	-3.3565261	2.0753317	-6.8560777	-1.4440632	-8.589046	0.049829327	-5.3412685
TE0004054	-16.293877	7.887984	11.740405	-6.6017647	3.7582624	8.268976	2.1791925	0.16749635	-8.979574	-2.0975943
TE0004055	16.084272	-5.6560116	0.39883024	-21.291492	-1.2024909	-6.253997	-2.249907	7.882366	3.0942805	-7.844811
TE0004056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004059	7.950001	-22.832977	-12.717849	7.099879	-3.8428135	-3.5468307	8.194371	10.659833	6.407348	1.1784
TE0004060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004061	9.043997	-10.693259	-24.811836	-7.198654	-5.911454	-1.2504504	-1.0598716	-16.974173	-0.6281459	-6.5749702
TE0004062	-13.571266	11.138615	-11.255281	-5.1311297	13.953851	3.8010962	-4.5064597	-12.481559	4.2931023	-1.8088745
TE0004063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004064	22.775045	-4.401839	-3.862734	-10.175363	11.173232	-5.0947404	-13.4347725	-11.895747	-4.3769355	-5.043845
TE0004065	-17.880442	2.9020329	-4.2630577	-1.1335	-15.900595	-5.6612067	-4.521415	-11.707034	5.9759636	2.1170542
TE0004066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004067	22.065039	-8.821136	-5.334366	-11.0867815	-11.320482	1.4427918	-11.304839	2.4807081	12.496332	2.4822
TE0004068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004070	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004071	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004072	-40.59154	2.0244305	-0.112270206	-0.2624781	-5.1493216	5.410072	3.9598758	-0.57062036	-3.783542	2.8185878
TE0004073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
