SID	tai_lbp1	tai_lbp2	tai_lbp3	tai_lbp4	tai_lbp5	tai_hog1	tai_hog2	tai_hog3	tai_hog4	tai_hog5	tai_contrast	tai_dissimilarity	tai_homogeneity	tai_energy	tai_correlation	tai_entropy
TE0005547	33422	11250	19361	13580	45162	337149	23190	1105	86	54	75.30618275	2.318212597	0.724175421	0.593375298	0.925309161	6.814403171
TE0005548	14576	4039	5406	3752	14125	254439	16263	1221	154	83	109.0793365	2.48733955	0.842552522	0.807560933	0.756607962	7.000181422
TE0005549	29536	8791	14338	9251	37882	363449	22804	1372	129	74	102.9262961	2.444021969	0.779535883	0.688800064	0.854228089	6.730296435
TE0005550	22451	6476	9055	5414	17811	216971	13696	869	85	39	190.3116853	4.132975063	0.723015339	0.671922086	0.781087935	6.533827933
TE0005551	34258	10376	19450	11055	31713	307117	21826	674	101	33	140.7222661	3.874509804	0.678410265	0.603812548	0.801344632	6.634997494
TE0005552	29374	9330	14439	9552	26450	277113	23331	749	98	29	164.7776603	4.192324855	0.699926423	0.631835536	0.84139923	7.16377219
TE0005553	23038	6768	9750	6488	18805	244367	15636	1053	119	50	128.4849053	3.408904966	0.740549233	0.697009094	0.720433161	6.387470773
TE0005554	30446	10051	15693	11593	31811	251638	19282	703	94	38	192.8288392	3.967788901	0.670475924	0.556578373	0.797529706	6.334250963
TE0005555	22662	7558	11546	7946	27289	251016	18232	1051	107	53	148.3673164	3.346442308	0.734968174	0.6495774	0.816333628	6.767366137
TE0005556	15162	4204	6980	4492	15727	200282	12549	871	90	48	136.1580731	2.777050808	0.79745215	0.732977435	0.744544557	6.527951285
TE0005557	22059	7097	10898	6894	20510	221225	16924	716	59	26	125.2710993	3.27703597	0.736734761	0.653787597	0.826947685	6.78720403
TE0005558	18641	6293	10985	6479	20245	223806	16757	814	123	42	103.5663093	2.833263387	0.768328169	0.687875277	0.811881786	6.476432862
