SID	zhi_cnnPC1	zhi_cnnPC2	zhi_cnnPC3	zhi_cnnPC4	zhi_cnnPC5	zhi_cnnPC6	zhi_cnnPC7	zhi_cnnPC8	zhi_cnnPC9	zhi_cnnPC10
TE0004065	-0.4541757	9.89934	-56.459362	-0.073638625	-16.619015	38.98698	-0.35341334	-9.503502	0.8741112	10.702171
TE0004066	-27.015179	4.815832	-23.869722	1.648033	36.023956	5.1947675	28.219038	12.221563	19.94322	-5.1565557
TE0004067	-37.05047	-18.724459	-60.622757	6.706856	-50.605335	66.279976	-25.225054	-7.321722	-15.022289	24.177002
TE0004068	8.218706	68.51598	-34.7302	-38.00622	14.710171	24.814295	-17.654865	5.3585124	19.774368	-13.770833
TE0004069	-5.9264665	13.483562	-27.605999	-4.242753	22.957817	18.393785	-19.992704	-12.772696	29.161308	4.6637344
TE0004070	-28.56872	15.623595	-44.327854	-23.380644	-39.983364	28.062954	6.731119	8.726016	-17.892681	-8.975677
TE0004071	-11.494595	18.966412	-25.206615	-18.868551	16.224424	-7.3330126	-8.073391	19.425415	14.859745	0.49377567
TE0004072	-15.91733	38.435192	-9.493059	-30.71626	-9.350649	2.4777057	-31.222605	2.0882661	14.165941	-2.4406564
TE0004073	2.2346377	-34.195454	-31.532125	8.80143	-8.37555	-19.412403	18.414433	-1.6652815	11.224477	17.991573
TE0004074	-22.347643	19.049557	-43.034504	28.448948	17.666822	-17.638744	-1.0317762	16.91818	1.6292928	-14.14544
TE0004075	-24.254356	1.011501	-17.350046	35.451	-19.45063	11.641502	-1.151272	18.479908	12.3727865	12.109588
TE0004076	-19.108553	-58.95288	10.941141	-8.620158	-24.022932	-11.358544	-27.939749	14.940858	14.519398	-1.1721148
TE0004077	-18.649456	-2.5300753	-34.16301	4.9053197	-25.504648	-20.59233	29.518139	3.5680044	12.012206	8.068823
TE0004078	-2.0291712	39.80785	-46.624134	50.14903	-16.50021	22.723917	-14.130563	21.449991	20.235453	26.383303
TE0004079	9.535501	-17.359142	-36.19132	6.6370387	-9.78888	14.440038	3.6021144	-21.701773	20.066692	-3.5065598
TE0004080	-18.40498	-21.070747	-24.254953	9.819918	-6.5114064	26.739637	-45.49217	11.76463	25.383427	-4.545067
TE0004081	-9.0300665	22.29475	-54.879833	13.39161	-2.4655848	15.149782	3.0910773	-10.129975	15.171958	-4.781968
TE0004082	69.4506	-8.825956	-20.453232	-4.3065124	-0.14427102	-11.168428	27.689028	-14.570137	22.143898	6.3596272
TE0004083	-18.558767	45.895393	-39.12819	9.045899	-23.784725	-14.774555	-15.130491	15.778663	7.58312	7.917794
TE0004084	57.032635	-42.260746	-28.06034	-5.6302958	-16.383009	-9.798301	3.1515286	3.9002798	-1.8782611	1.7878624
TE0004085	10.201225	37.170578	-14.105066	-20.80107	25.936666	-27.989794	9.375384	6.892785	0.77637994	1.7048289
TE0004086	4.1672916	3.8015625	-30.33662	1.7292337	-25.89449	-27.656311	17.027899	25.95668	-17.664516	-13.196916
TE0004087	43.459053	18.294151	-28.12659	-3.439578	-2.072987	-23.96052	17.782688	-10.034319	0.88737607	10.321839
TE0004088	-14.4193	31.743258	-36.33327	-40.48558	-1.3217145	7.7503195	-14.92397	-3.2860827	10.2329235	4.696015
TE0004089	2.9322684	24.348934	-13.975661	17.365131	-5.619783	4.2466884	-2.592243	9.443408	21.802517	-14.320116
TE0004090	40.74715	43.829376	-39.16526	-24.525213	0.5507191	-0.24349758	-30.733015	-6.002909	-4.7135367	31.324385
TE0004091	1.7308569	23.051432	-34.97373	-8.612745	66.477745	-17.181417	-8.477773	-10.537349	6.9532027	1.3044524
TE0004092	62.883427	-54.537273	-10.850312	-20.545916	4.902505	3.2611978	-13.389916	-22.562672	-2.1887474	14.8795
TE0004093	-52.75973	-35.883568	6.1426997	4.985165	-14.634359	-5.687444	14.06829	16.360485	5.363535	-22.849127
TE0004094	-15.476827	69.985	8.230122	-31.676815	-31.11174	-8.432215	-21.673197	11.044918	-4.636737	-31.687313
TE0004095	11.111586	-31.72065	-29.006775	10.308409	-27.662039	-11.544592	16.62368	30.058788	-11.903295	-9.289745
TE0004096	53.278996	26.819832	-51.140205	-10.863123	-3.629902	4.1699533	-5.5002437	-8.606958	-19.610712	4.906197
TE0004097	-10.943431	25.916199	-34.59637	-21.799206	38.05081	-9.20004	-7.3328314	9.71613	4.5111737	4.1018186
TE0004098	4.4717026	31.33178	12.283245	-2.0941536	-21.779875	-17.50603	-16.264666	33.262234	11.763661	-16.436007
TE0004099	15.455234	-22.26612	-8.040959	-18.584776	8.132582	-15.868024	-26.371857	2.8126447	3.9383976	24.698868
TE0004100	-41.168438	-9.114402	-46.201572	-4.55393	-4.2198653	-4.3940816	21.237284	2.6906996	-0.039811734	-17.210323
TE0004101	25.662613	12.863906	0.5693727	26.855717	-1.6709834	15.183015	-6.499788	13.326046	-6.7928686	-3.8769097
