SID	tooth_mk_cnnPC1	tooth_mk_cnnPC2	tooth_mk_cnnPC3	tooth_mk_cnnPC4	tooth_mk_cnnPC5	tooth_mk_cnnPC6	tooth_mk_cnnPC7	tooth_mk_cnnPC8	tooth_mk_cnnPC9	tooth_mk_cnnPC10
TE0004010	8.377573	11.804062	1.7417097	-6.196574	2.0695796	-2.6643276	-11.314798	-14.910195	7.4306974	4.486751
TE0004011	24.657637	-13.655112	-20.100311	6.429159	-9.900209	2.6982808	-5.380555	6.790457	6.6927023	-0.10842815
TE0004012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004018	14.068213	-28.960466	-18.185335	-9.095944	6.922227	0.15616666	3.6588562	-3.1990364	3.093585	0.97251683
TE0004019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004029	-60.834774	0.5887089	-2.5614183	4.146006	3.4932206	2.1050208	1.188185	1.162796	-0.29019862	-1.0609676
TE0004030	12.0696945	-16.079203	-12.40099	-11.262834	3.710287	-1.6822503	16.314539	-2.087493	12.048768	0.7641815
TE0004031	18.352518	24.82478	17.788725	-3.0435715	-7.2111325	6.943576	6.964247	-3.6197646	4.4474177	1.5338888
TE0004032	7.8453064	-0.72715265	-7.1445246	19.408321	4.979552	-7.2889733	-5.0261397	-10.889076	9.924167	13.341589
TE0004033	0.13183166	-10.017708	-7.81076	20.255917	5.7878575	-13.763346	0.8731057	7.6205583	4.994244	5.7223353
TE0004034	41.904774	45.570534	-0.5284128	-6.1250386	4.856913	12.853379	5.425321	8.365643	6.4532213	-8.466548
TE0004035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004036	-0.9156968	-2.2521257	-26.046267	15.875245	2.233023	3.246919	6.604934	-9.36633	7.5676775	-0.43756673
TE0004037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004038	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004040	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004048	80.78176	21.585043	-1.6021681	-3.8453534	17.03386	18.63501	9.458335	-0.16127166	-9.047813	8.272555
TE0004049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004050	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004064	58.40072	-21.33976	-19.634617	10.363547	5.6410365	2.0544698	-7.3958983	-9.517955	-5.5247693	14.395851
TE0004065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004067	-7.766651	12.621455	1.0158497	14.565648	-5.4891095	5.993728	-7.0682287	-6.0325985	6.6639013	1.7374866
TE0004068	14.381136	-12.119908	8.692316	-0.5120387	-11.510066	-8.173048	-3.155691	11.4045515	4.306104	14.996482
TE0004069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004070	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004071	-7.2687297	3.4787312	7.080234	16.126637	7.359334	-1.0021373	-2.7278416	10.09652	-15.539507	-3.8271205
TE0004072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004073	3.4167562	22.417734	5.106085	-9.551386	-7.84487	-13.319504	-0.9063382	-8.719779	-2.9556658	5.015736
TE0004074	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004075	-30.846378	-4.4067154	9.684515	-17.294216	-6.7224646	-3.6198087	-0.9620145	0.7203449	4.5393114	-2.7286134
TE0004076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004077	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004078	27.596079	1.0657119	-1.0263394	-3.820265	-10.660558	-1.1205962	-13.791187	3.911635	-5.997399	7.9025187
TE0004079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004080	-1.0366327	32.77035	-7.0820417	12.972695	2.5188391	-5.1749268	-17.77612	-11.778025	15.453803	0.785485
TE0004081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004083	54.240597	-35.858917	1.7537239	0.048485808	18.488123	-11.997353	-10.939986	10.820069	10.940452	-2.5830693
TE0004084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
