SID	tg_cnnPC1	tg_cnnPC2	tg_cnnPC3	tg_cnnPC4	tg_cnnPC5	tg_cnnPC6	tg_cnnPC7	tg_cnnPC8	tg_cnnPC9	tg_cnnPC10
TE0003979	11.119443	31.100712	6.6551723	-48.40175	16.302423	15.312943	4.6299767	-5.2722406	4.8855906	-24.685904
TE0003980	63.045948	-2.314302	41.063137	36.135246	-39.737247	-36.77116	15.527995	0.4752895	-10.040282	-0.36266002
TE0003981	-50.271774	-8.640746	-9.770596	-34.86904	-3.0928879	25.385147	-13.215953	4.978773	20.760677	-20.55953
TE0003982	63.330643	-22.83846	-37.584743	19.42519	-9.948848	-28.579058	-6.370869	21.020506	-3.4332597	7.52311
TE0003983	15.286249	-29.72654	5.631086	-21.121223	18.541275	-13.971775	24.753551	-5.26762	-9.015124	-7.6442385
TE0003984	-19.985352	34.766693	-21.830574	27.886377	11.985355	-24.26122	-3.82421	-1.0490261	9.551178	0.22231917
TE0003985	-41.35507	38.75059	-5.4812117	-29.480875	11.525794	8.476568	-4.91683	4.233607	14.834482	-21.900238
TE0003986	-15.584376	4.825225	16.127396	-37.66563	-11.260958	28.209898	26.62082	-6.0178757	12.634322	-1.4137374
TE0003987	17.805143	-47.533337	4.647406	-23.394377	50.48995	13.503279	18.555704	-9.77037	8.124453	-10.816244
TE0003988	-29.05777	-30.191868	-13.51129	-6.7304263	-4.0943637	15.900293	-8.607999	13.910135	-1.3352613	15.17835
TE0003989	72.18087	-68.5726	-24.937647	-14.683134	-27.846664	14.181697	10.364617	5.6599164	-56.4136	-10.940051
TE0003990	-0.19398658	3.1219645	5.9872265	5.3068767	10.198127	16.5622	-2.0170612	-17.676	-3.423461	-20.480604
TE0003991	15.418487	36.872124	-22.668072	-10.994493	-6.3495946	-8.183678	-21.430376	19.86445	-7.4118485	-4.022085
TE0003992	-13.077824	52.468212	1.9595052	13.4891815	27.581337	13.671459	-9.176546	-50.188812	-1.6640906	-13.48512
TE0003993	-35.999607	-29.393871	16.222734	-43.426533	-0.01944483	26.886253	-46.214325	-2.5363035	-11.494505	0.6881741
TE0003994	-20.3021	45.785866	9.208263	-26.778793	-14.715311	3.2963738	-14.656201	14.520036	23.241913	0.6158072
TE0003995	93.22555	-6.832204	15.111908	24.720142	-49.425278	-5.2698765	-4.8750057	20.01974	-16.095085	4.0510635
TE0003996	36.48885	14.544952	21.795681	-30.131905	22.499039	4.2644844	-2.6744013	-27.71026	-25.088062	-7.7464857
TE0003997	-31.978203	-43.40248	28.750399	3.8985102	3.6896064	-5.9910436	6.0875173	-13.728047	28.42386	-9.49001
TE0003998	-34.430485	-65.868065	-9.08884	-12.627015	-0.31514508	18.11271	-32.75475	34.114838	19.504263	1.5266173
TE0003999	-38.583675	-35.115173	-24.779125	9.816862	0.20040798	31.756107	1.0914103	16.283278	12.0728855	-23.909397
TE0004000	40.35068	-20.418587	-42.38548	-42.372517	15.067861	36.405064	4.4210243	-5.441714	6.4925065	4.109477
